AARON PATZER,"Turn a perceived risk into an asset."
ANDREW CARNEGIE,"The men who have succeeded are men who have chosen one line and stuck to it."
BILL GATES,"I never took a day off in my twenties. Not one."
BRIAN TRACY,"If what you are doing is not moving you towards your goals, then it's moving you away from your goals."
COCO CHANEL,"In order to be irreplaceable one must always be different."
DAVID CHILTON,"The only thing worse than a bad investment is a bad investment made with borrowed money."
DAVID KARP,"Entrepreneur is someone who has a vision for something and a want to create."
DEBBI FIELDS,"The important thing is not being afraid to take a chance. Remember, the greatest failure is to not try. Once you find something you love to do, be the best at doing it."
DONALD TRUMP,"As long as you're going to be thinking anyway, think big."
DONALD TRUMP,"What separates the winners from the losers is how a person reacts to each new twist of fate."
DREW HOUSTON,"Don't worry about failure; you only have to be right once."
HENRY FORD,"Whether you think you can, or think you can't you're right."
HENRY FORD,"A business that makes nothing but money is a poor business."
HOWARD SCHULTZ,"Risk more than others think is safe. Dream more than others think is practical."
INGVAR KAMPRAD,"The most dangerous poison is the feeling of achievement. The antidote is to every evening think what can be done better tomorrow."
J.P. MORGAN,"Go as far as you can see; when you get there, you'll be able to see farther."
JACK DORSEY,"Make every detail perfect and limit the number of details to perfect."
JACK MA,"In carrying out e-commerce, the most important thing is to keep doing what you are doing right now with passion, to keep it up."
JAMES CASH PENNEY,"It is always the start that requires the greatest effort."
JEFF BEZOS,"I knew that if I failed I wouldn't regret that, but I knew the one thing I might regret is not trying."
JOHN D. ROCKEFELLER,"Good management consists in showing average people how to do the work of superior people."
JOSH JAMES,"When you find an idea that you just can't stop thinking about, that's probably a good one to pursue."
LARRY PAGE,"Always deliver more than expected."
MARC BENIOFF,"The secret to successful hiring is this: look for the people who want to change the world."
MARK CUBAN,"Make your product easier to buy than your competition, or you will find your customers buying from them, not you."
MARK ZUCKERBERG,"If you just work on stuff that you like and you're passionate about, you don't have to have a master plan with how things will play out."
MICHAEL BLOOMBERG,"Don't be afraid to assert yourself, have confidence in your abilities and don't let the bastards get you down."
MICHAEL DELL,"You don't have to be a genius or a visionary or even a college graduate to be successful. You just need a framework and a dream."
PETE CASHMORE,"We are really competing against ourselves, we have no control over how other people perform."
PIERRE OMIDYAR,"If you're passionate about something and you work hard, then I think you will be successful."
REID HOFFMAN,"The fastest way to change yourself is to hang out with people who are already the way you want to be."
REID HOFFMAN,"No matter how brilliant your mind or strategy, if you're playing a solo game, you'll always lose out to a team"
RICHARD BRANSON,"I see life almost like one long University education that I never had every day I'm learning something new."
RICHARD BRANSON,"You don't learn to walk by following rules. You learn by doing and falling over."
ROBERT H. SCHULLER,"Tough times never last, but tough people do."
ROY ASH,"An entrepreneur tends to bite off a little more than he can chew hoping he'll quickly learn how to chew it."
SAM WALTON,"High expectations are the key to everything."
SERGEY BRIN,"Solving big problems is easier than solving little problems."
STEVE CASE,"In the end, a vision without the ability to execute it is probably a hallucination."
STEVE JOBS,"Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work. And the only way to do great work is to love what you do."
STEVE JOBS,"I'm convinced that about half of what separates the successful entrepreneurs from the non-successful ones is pure perseverance."
STEVE JOBS,"Be a yardstick of quality. Some people aren't used to an environment where excellence is expected."
TIM WESTERGEN,"Make your team feel respected, empowered and genuinely excited about the company's mission."
TOM KELLEY,"Fail often so you can succeed sooner."
TONY HSEIH,"Chase the vision, not the money, the money will end up following you."
WALT DISNEY,"All our dreams can come true, if we have the courage to pursue them."
WALT DISNEY,"The way to get started is to quit talking and begin doing."
WARREN BUFFET,"Someone is sitting in the shade today because someone planted a tree a long time ago."
WARREN BUFFET,"It takes 20 years to build a reputation and five minutes to ruin it. If you think about that, you'll do things differently."
YVON CHOUINARD,"How you climb a mountain is more important than reaching the top."