ARETHA FRANKLIN,"Be your own artist, and always be confident in what you're doing. If you're not going to be confident, you might as well not be doing it."
BB KING,"The beautiful thing about learning is that nobody can take it away from you."
BEYONCE,"If everything was perfect, you would never learn and you would never grow."
BILLY JOEL,"Musicians want to be the loud voice for so many quiet hearts."
BOB DYLAN,"What's money? A man is a success if he gets up in the morning and goes to bed at night and in between does what he wants to do."
BOB MARLEY,"One good thing about music, when it hits you, you feel no pain."
BONO,"Music can change the world because it can change people."
BRUNO MARS,"You can't knock on opportunity's door and not be ready."
CARLOS SANTANA,"Just as Jesus created wine from water, we humans are capable of transmuting emotion into music."
CHER,"Until you're ready to look foolish, you'll never have the possibility of being great."
CHRIS MARTIN,"The goal is to try and make the perfect song. Which of course will never happen."
CHRISTINA AGUILERA,"The roughest roads often lead to the top."
DAVE GROHL,"A musician should only sound like what they do, and no two musicians sound the same. It's an individual-feel thing, you know?"
DAVID BYRNE,"To some extent I happily don't know what I'm doing. I feel that it's an artist's responsibility to trust that."
DUKE ELLINGTON,"The wise musicians are those who play what they can master."
ED SHEERAN,"It's like if you want something so badly go out there and grab, just keep on doing it."
ELTON JOHN,"Music has healing power. It has the ability to take people out of themselves for a few hours."
ELVIS PRESLEY,"I'm trying to keep a level head. You have to be careful out in the world. It's so easy to get turned."
FRANK SINATRA,"Dare to wear the foolish clown face."
FRANK ZAPPA,"Without deviation from the norm, progress is not possible."
FREDDIE MERCURY,"When I'm dead, I want to be remembered as a musician of some worth and substance."
IGOR STRAVINSKY,"Lesser artists borrow, great artists steal."
JAMES TAYLOR,"I believe musicians have a duty, a responsibility to reach out, to share your love or pain with others."
JIMI HENDRIX,"When the power of love overcomes the love of power the world will know peace."
JOHN CAGE,"I can't understand why people are frightened of new ideas. I'm frightened of the old ones."
JOHN LENNON,"Time you enjoy wasting, was not wasted."
JOHN LENNON,"Life is what happens when you're making other plans."
JOHN LENNON,"If everyone demanded peace instead of another television set, then there'd be peace."
JOHNNY CASH,"You build on failure. Use it as a stepping stone and close the door on the past. Don't try to forget the mistakes, but don't dwell on it."
KURT COBAIN,"Wanting to be someone else is a waste of the person you are."
LANA DEL RAY,"Find someone who has a life that you want and figure out how they got it. Read books, pick your role models wisely. Find out what they did and do it."
LINDSEY STIRLING,"Increase your confidence in your self-worth and in your ability to contribute good things to the world."
LOUIS ARMSTRONG,"Musicians don't retire; they stop when there's no more music in them."
LOUIS ARMSTRONG,"All music is folk music. I ain't never heard a horse sing a song."
LUDWIG VAN BEETHOVEN,"I would rather write 10,000 notes than a single letter of the alphabet."
LUDWIG VAN BEETHOVEN,"Music is a higher revelation than all wisdom and philosophy. Music is the electrical soil in which the spirit lives, thinks and invents."
MADONNA,"One thing I've learned is that I'm not the owner of my talent; I'm the manager of it."
MICK JAGGER,"Lose your dreams and you might lose your mind."
PABLO CASALS,"Music is the divine way to tell beautiful, poetic things to the heart."
PHIL COLLINS,"Beyond a certain point, the music isn't mine anymore. It's yours."
PRINCE,"Despite everything, no one can dictate who you are to other people."
ROBERT PLANT,"You can't give up something you really believe in for financial reasons."
ROY AYERS,"The true beauty of music is that it connects'people. It carries a message, and we, the musicians, are the messengers."
STEVEN TYLER,"The things that come to those that wait may be the things left by those that got there first."
STING,"If you play music with passion and love and honesty, then it will nourish your soul, heal your wounds and make your life worth living. Music is it's own reward."
TAYLOR SWIFT,"No matter what happens in life, be good to people. Being good to people is a wonderful legacy to leave behind."
TRAVIS SCOTT,"There's a lot of us out here that are birds, man. We all need to just fly."
VINNIE PAUL,"So put your heart and soul into it and give it everything you've got, and more power to you."
WHITNEY HOUSTON,"I decided long ago never to walk in anyone's shadow; if I fail, or if I succeed at least I did as I believe."
WOLFGANG AMADEUS MOZART,"The music is not in the notes, but in the silence between."